#LECROYWP735Zi	47716	Histogram
#Segments	1	SegmentSize	1000
#Segment	TrigTime	TimeSinceSegment1
#1	09-Jul-2025 16:40:03	0                 
#Time	Ampl
-2.7e-009	225
-2.69e-009	231
-2.68e-009	224
-2.67e-009	213
-2.66e-009	216
-2.65e-009	207
-2.64e-009	208
-2.63e-009	204
-2.62e-009	185
-2.61e-009	199
-2.6e-009	192
-2.59e-009	173
-2.58e-009	190
-2.57e-009	180
-2.56e-009	154
-2.55e-009	178
-2.54e-009	160
-2.53e-009	142
-2.52e-009	137
-2.51e-009	135
-2.5e-009	115
-2.49e-009	127
-2.48e-009	134
-2.47e-009	123
-2.46e-009	131
-2.45e-009	101
-2.44e-009	112
-2.43e-009	92
-2.42e-009	94
-2.41e-009	98
-2.4e-009	98
-2.39e-009	72
-2.38e-009	88
-2.37e-009	98
-2.36e-009	84
-2.35e-009	93
-2.34e-009	77
-2.33e-009	78
-2.32e-009	91
-2.31e-009	70
-2.3e-009	68
-2.29e-009	68
-2.28e-009	65
-2.27e-009	51
-2.26e-009	63
-2.25e-009	52
-2.24e-009	46
-2.23e-009	51
-2.22e-009	57
-2.21e-009	41
-2.2e-009	43
-2.19e-009	38
-2.18e-009	30
-2.17e-009	33
-2.16e-009	41
-2.15e-009	41
-2.14e-009	31
-2.13e-009	30
-2.12e-009	22
-2.11e-009	24
-2.1e-009	21
-2.09e-009	28
-2.08e-009	27
-2.07e-009	23
-2.06e-009	15
-2.05e-009	24
-2.04e-009	16
-2.03e-009	15
-2.02e-009	16
-2.01e-009	12
-2e-009	12
-1.99e-009	12
-1.98e-009	10
-1.97e-009	14
-1.96e-009	9
-1.95e-009	7
-1.94e-009	16
-1.93e-009	7
-1.92e-009	11
-1.91e-009	7
-1.9e-009	8
-1.89e-009	4
-1.88e-009	5
-1.87e-009	3
-1.86e-009	9
-1.85e-009	2
-1.84e-009	8
-1.83e-009	5
-1.82e-009	3
-1.81e-009	4
-1.8e-009	3
-1.79e-009	3
